Genre	Name	TrackId	Popularity	Year	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	valence
party	Pressure to Party	13LsKYpr3ZNMTRu0Lo8Z7R	46	2019	0.000125	https://api.spotify.com/v1/audio-analysis/13LsKYpr3ZNMTRu0Lo8Z7R	0.471	182307	0.811	0.0000408	4	0.117	-3.956	1	0.0389	141.967	4	https://api.spotify.com/v1/tracks/13LsKYpr3ZNMTRu0Lo8Z7R	0.37
party	Da wo die Party abgeht	5cnhrAIWXJyg2tNqaTXaYw	26	2020	0.544	https://api.spotify.com/v1/audio-analysis/5cnhrAIWXJyg2tNqaTXaYw	0.786	196998	0.926	0.000506	9	0.283	-5.846	0	0.0379	109.999	4	https://api.spotify.com/v1/tracks/5cnhrAIWXJyg2tNqaTXaYw	0.401
party	I. The Party	6men4y6a8QuGtE5qkFkOgR	49	2013	0.153	https://api.spotify.com/v1/audio-analysis/6men4y6a8QuGtE5qkFkOgR	0.508	91292	0.567	0.00446	6	0.139	-11.415	1	0.347	146.303	4	https://api.spotify.com/v1/tracks/6men4y6a8QuGtE5qkFkOgR	0.389
party	Welcome To The Party (feat. Skepta) - Remix	1IN7pViz23ZsjIH5hV47GO	45	2019	0.0249	https://api.spotify.com/v1/audio-analysis/1IN7pViz23ZsjIH5hV47GO	0.483	215493	0.652	0.0000102	2	0.195	-6.409	1	0.184	107.206	3	https://api.spotify.com/v1/tracks/1IN7pViz23ZsjIH5hV47GO	0.266
party	(I Just) Died In Your Arms	0T92MvJuhBboPupeRaAcQJ	2	2022	0.00347	https://api.spotify.com/v1/audio-analysis/0T92MvJuhBboPupeRaAcQJ	0.535	269040	0.831	0.000045	11	0.0835	-5.961	0	0.0524	124.909	4	https://api.spotify.com/v1/tracks/0T92MvJuhBboPupeRaAcQJ	0.289
party	Who's Next	78U52YiwBOL8CwWqlY1FEI	0	2022	0.0143	https://api.spotify.com/v1/audio-analysis/78U52YiwBOL8CwWqlY1FEI	0.72	130756	0.687	0	8	0.308	-5.837	1	0.25	95.016	4	https://api.spotify.com/v1/tracks/78U52YiwBOL8CwWqlY1FEI	0.348
party	The Birthday Party	3wFPsw1WQJevCFoKpoLyTF	50	2020	0.0681	https://api.spotify.com/v1/audio-analysis/3wFPsw1WQJevCFoKpoLyTF	0.627	285833	0.495	0.104	2	0.124	-8.934	1	0.0287	134.01	4	https://api.spotify.com/v1/tracks/3wFPsw1WQJevCFoKpoLyTF	0.452
party	PATHOS PARTY	6X90wyX3mew6kO7iHTHsXW	6	2022	0.0156	https://api.spotify.com/v1/audio-analysis/6X90wyX3mew6kO7iHTHsXW	0.647	125543	0.491	0.924	2	0.179	-8.14	1	0.236	130.078	4	https://api.spotify.com/v1/tracks/6X90wyX3mew6kO7iHTHsXW	0.305
party	Welcome To The Party (feat. Nicki MInaj) - Remix	0i56hhAdCCT5KqZIy4pHQ4	48	2019	0.0317	https://api.spotify.com/v1/audio-analysis/0i56hhAdCCT5KqZIy4pHQ4	0.67	180720	0.622	0	2	0.158	-6.001	1	0.253	142.931	4	https://api.spotify.com/v1/tracks/0i56hhAdCCT5KqZIy4pHQ4	0.41
party	Halloween Party	5JKoY2TG1q8spR1qUXs4I8	6	2019	0.322	https://api.spotify.com/v1/audio-analysis/5JKoY2TG1q8spR1qUXs4I8	0.414	61315	0.654	0.988	10	0.108	-7.625	1	0.0305	117.012	4	https://api.spotify.com/v1/tracks/5JKoY2TG1q8spR1qUXs4I8	0.339
party	Glory Box	3X5W9MR03rzWPKmvsWr66E	1	2022	0.175	https://api.spotify.com/v1/audio-analysis/3X5W9MR03rzWPKmvsWr66E	0.51	308627	0.433	0.516	1	0.0603	-10.006	1	0.036	119.695	4	https://api.spotify.com/v1/tracks/3X5W9MR03rzWPKmvsWr66E	0.208
party	Sincerely	4thBZp9kEDqeSwLtwcAZgk	55	2018	0.0351	https://api.spotify.com/v1/audio-analysis/4thBZp9kEDqeSwLtwcAZgk	0.409	275800	0.819	0	9	0.322	-3.784	0	0.0564	143.937	4	https://api.spotify.com/v1/tracks/4thBZp9kEDqeSwLtwcAZgk	0.458
party	Strip	4jwmy2CWfRxoG8AP7CbWvb	0	2022	0.147	https://api.spotify.com/v1/audio-analysis/4jwmy2CWfRxoG8AP7CbWvb	0.72	166646	0.792	0.00000216	1	0.145	-3.799	1	0.0447	99.983	4	https://api.spotify.com/v1/tracks/4jwmy2CWfRxoG8AP7CbWvb	0.845
party	Party Time	0uif0Lvh62KQ8GIFY594M7	48	2019	0.0103	https://api.spotify.com/v1/audio-analysis/0uif0Lvh62KQ8GIFY594M7	0.635	166560	0.878	0.538	0	0.338	-4.753	1	0.07	125.002	4	https://api.spotify.com/v1/tracks/0uif0Lvh62KQ8GIFY594M7	0.414
party	Kali Kali Zulfon Ke Phande Na	6KtNLc95StBKfOmFDAoTwi	49	2018	0.573	https://api.spotify.com/v1/audio-analysis/6KtNLc95StBKfOmFDAoTwi	0.4	859345	0.694	0	3	0.874	-8.486	1	0.0621	153.902	3	https://api.spotify.com/v1/tracks/6KtNLc95StBKfOmFDAoTwi	0.727
